# FCTZS-TRPG public スキーマ列一覧
# 更新日: 2026-07-17
# 出典: 既存 information_schema ダンプをベースに、database-optimization 適用後の
#       junction / 軽量ビュー、および Worker・フロントが参照する列を反映。
# 注意: column_id は旧ダンプ由来のため欠番があり、新規追加列は概算番号の場合がある。
#       本番の正本は下記SQLで再取得し、本ファイルを置き換えること。
#
# --- 再取得用SQL (Supabase SQL Editor) ---
# SELECT
#   c.table_name,
#   c.column_name,
#   c.ordinal_position AS column_id,
#   c.data_type,
#   c.is_nullable
# FROM information_schema.columns AS c
# JOIN information_schema.tables AS t
#   ON t.table_schema = c.table_schema
#  AND t.table_name = c.table_name
# WHERE c.table_schema = 'public'
#   AND t.table_type IN ('BASE TABLE', 'VIEW')
# ORDER BY c.table_name, c.ordinal_position;
# ----------------------------------------

| table_name               | column_name            | column_id | data_type                | is_nullable | kind  | notes |
| v_character_details      | skills                 | 20        | jsonb                    | YES         | view  | |
| v_character_details      | scenarios              | 21        | jsonb                    | YES         | view  | |
| v_character_list         | id                     | 1         | text                     | YES         | view  | レガシー |
| v_character_list         | name                   | 2         | text                     | YES         | view  | |
| v_character_list         | reading                | 3         | text                     | YES         | view  | |
| v_character_list         | system                 | 4         | text                     | YES         | view  | |
| v_character_list         | state                  | 5         | text                     | YES         | view  | |
| v_character_list         | job                    | 6         | text                     | YES         | view  | |
| v_character_list         | player_id              | 7         | text                     | YES         | view  | |
| v_character_list         | updated_at             | 8         | timestamp with time zone | YES         | view  | |

# --- おまけ機能テーブル (列定義は本番再取得で補完) ---
# nightreign_characters
# nightreign_slot_presets
# nightreign_relic_effects
# nightreign_user_relics
# Worker の /api/nightreign/* から select=* で参照。詳細列は上記再取得SQLで追記すること。
